Date,Consumption
2019-06-13,1376.29
2019-06-20,1185.595
2019-06-27,1439.206
2019-07-04,1411.509
2019-07-11,1380.383
2019-07-18,1379.032
2019-07-25,1410.417
2019-08-01,1330.42
2019-08-08,1326.621
2019-08-15,1302.132
2019-08-22,1316.373
2019-08-29,1388.307
2019-09-05,1365.825
2019-09-12,1387.521
2019-09-19,1359.466
2019-09-26,1407.388
2019-10-03,1105.298
2019-10-10,1433.922
2019-10-17,1443.269
2019-10-24,1450.732
2019-10-31,1366.98
2019-11-07,1500.872
2019-11-14,1497.274
2019-11-21,1526.526
2019-11-28,1535.49
2019-12-05,1588.074
2019-12-12,1576.723
2019-12-19,1438.735
2019-12-26,1042.692
